,Product Name,Brand,Ram,Storage,Battery,Screen_size,Rear_Camera,Front_Camera,Rating,Rating_Category,Rating_Count,Review_Count,Total_Engagements,Offer,Price,Price_Range
0,MOTOROLA G04,MOTOROLA,4,64 ,5000,6.6,16MP Rear Camera,5MP,4.2,Very Good,16753,1042,17795,30,6999,<10K
1,Motorola g04s,Motorola,4,64 ,5000,6.6,50MP Rear Camera,5MP,4.2,Very Good,29634,1640,31274,27,7299,<10K
2,Motorola g04s,Motorola,4,64 ,5000,6.6,50MP Rear Camera,5MP,4.2,Very Good,29634,1640,31274,27,7299,<10K
3,Motorola g04s,Motorola,4,64 ,5000,6.6,50MP Rear Camera,5MP,4.2,Very Good,29634,1640,31274,27,7299,<10K
4,POCO C61  - Locked,POCO,4,64 ,5000,6.71,8MP Rear Camera,5MP,4.1,Very Good,107774,4604,112378,16,7499,<10K
5,POCO C75 5G,POCO,4,64 ,5160,6.88,50MP Rear Camera,5MP,4.3,Very Good,70650,3673,74323,30,7699,<10K
6,POCO C75 5G,POCO,4,64 ,5160,6.88,50MP Rear Camera,5MP,4.3,Very Good,70650,3673,74323,30,7699,<10K
7,POCO C75 5G,POCO,4,64 ,5160,6.88,50MP Rear Camera,5MP,4.3,Very Good,70650,3673,74323,30,7699,<10K
8,Infinix Smart 8 Plus,Infinix,4,128 ,6000,6.6,50MP + AI Lens,8MP,4.3,Very Good,13303,805,14108,22,7799,<10K
9,MOTOROLA G04,MOTOROLA,8,128 ,5000,6.6,16MP Rear Camera,5MP,4.2,Very Good,7441,533,7974,27,7999,<10K
10,POCO C75 5G,POCO,4,128 ,5160,6.88,50MP Rear Camera,5MP,4.3,Very Good,70650,3673,74323,26,8499,<10K
11,Samsung Galaxy F06 5G,Samsung,4,64 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,13952,1014,14966,32,8499,<10K
12,Samsung Galaxy F06 5G,Samsung,4,64 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,13952,1014,14966,32,8499,<10K
13,POCO C75 5G,POCO,4,128 ,5160,6.88,50MP Rear Camera,5MP,4.3,Very Good,70650,3673,74323,26,8499,<10K
14,POCO C75 5G,POCO,4,128 ,5160,6.88,50MP Rear Camera,5MP,4.3,Very Good,70650,3673,74323,26,8499,<10K
15,POCO C65,POCO,4,128 ,5000,6.74,50MP + AI Lens + 2MP,8MP,4.3,Very Good,102117,5047,107164,22,8499,<10K
16,POCO C65,POCO,4,128 ,5000,6.74,50MP + AI Lens + 2MP,8MP,4.3,Very Good,102117,5047,107164,22,8499,<10K
17,Samsung Galaxy F06 5G,Samsung,4,64 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,13952,1014,14966,32,8499,<10K
